RN;TWEET;CATEGORIA
372;la muestra que toma está consultora estará enterada que el diputado fascista milei casi no concurre al congreso no participa no tiene proyectos presentados y no participa de ninguna bicameral rari;Negativo
374;cuando milite en el ex partido liberal libertario entre 2012 y 2013 una vez fuimos a la marcha de orgullo lgbt a juntar avales y fie un existo a diferencia de la secta fascista de milei era un partido progresista en asuntos sociales;Negativo
375;dame un solo motivo de por que es fascista espert o milei te leo;Negativo
376;preguntarle al frente para la derrota que desde 2009 a la fecha perdió 5 de las últimas elecciones 2009 2013 2015 2017 y 2021 sin contar el hallazgo del remisero en 2019 el año que viene vuelven a la derrota contra milei chúpala viejo forro;Negativo
378;antes me podía llegar a indignar que un enano resentido facho que no hace nada más que balbucear cosas ininteligibles por cada medio que le da aire tenga tantos seguidores en argentina pero ya no el que quiera seguir a milei que lo haga nomás;Negativo
379;hay gente que dice que milei no es facho clown_face clown_face clown_face clown_face;Negativo
380;vos reivindicas a chorros chorras y pedofilos pero la gente te tiene lastima y se divierte con tus inconsistencias igual yo tengo una teoría vos sos mas piola que elon y más facho que milei pero te gusta torear porque te encanta la criadilla;Negativo
381;es bueno adentro de la casapero afuera tremendo individualista y facho ya ser seguidor de mileiultraconservador facho racista machista te da la pauta;Negativo
385;me parece que le debe molestar en la campaña de milei es mas clara más simple y es una verdadera opositora no quiere sacarle votos como milei o el imbecil de manes y callan con cfk;Negativo
386;ayer viví mi primer episodio de xenofobia en argentina por parte de un liberfacho lameorto de milei cero capacidad argumentativa un imbécil de tomo y lomo;Negativo
387;que salga luego el esquizofrénico de milei para que dolarice argentina les llegué otro corralito como el que provocó el imbécil de su foto de portada y entiendan que ese camino tampoco es el que necesitan;Negativo
388;cuando milei dijo que hay q ahorcar a los gay  estas drogado imbecil;Negativo
389;el imbecil de milei se cree zoolander haciendo una mirada perdón por lo de imbecil es ridículo y de ahí no se vuelve;Negativo
390;ese es tu problema estas tan cojido por una ideologia que terminas llevando todo a ese terreno te repito nuevamente anda a hacerte la paja con milei que esto es fútbol imbecil;Negativo
392;está así por políticos hdp exactamente como larrata 50 años dialogando y consensuando para ver como nos roban con más impuestos la única salida es milei o ezeiza;Positivo
395;larreta es un hdp pero si yo puedo pagar una entrada a coldplay voy hoy cualquiera puede qué sigue escracharlo por ir al cine es un calvo hdp pero no seamos hipócritas aguante milei por cierto;Positivo
396;maldigo el día en el que un niño caen en manos de un par de aberrados tienes razón milei presos deberían estar los muy hdp;Positivo
401;la casta inmunda esta llena de panqueques valijeros    y  son claros ejemplos a loooss panqueques  vuelta y vuelta milei2023 mileipresidente vllc;Positivo
403;mym macri y mileí que formula imparable;Positivo
404;atentamente javier milei el cómico más grande de argentina viva la comedia carajo;Negativo
407;un coloso javier milei  es el único que da propuestas milei2023;Positivo
408;ahora javier milei mira las paso con cariño lo que vio en brasil lo entusiasma  por diego dillenberger;Positivo
411;miren gente cumplí este sueño de sacarme una foto con el futuro presidente de este país que es javier milei  smiling_face_with_hearts;Positivo
412;a quien admiras te tendría que dar vergüenza cfk es una mujer nefasta q so hizo daño al pueblo cobra dos apensiones del estado que son 120 de las básicas y se robo un pbi vos aspiras a ello significa que sos igual milei2023;Positivo
413;las ganas de que el país crezca se ve reflejado en el corazón de quienes bancamos a milei hagamos a argentina grande nuevo hagamos a milei presidente este 2023 vllc milei2023;Positivo
414;el presidente del partido demócrata de cordoba   recibiendo a  en el aeropuerto de río cuarto   partidodemocrata lalibertadavanza javiermilei javiermileipresidente javiermileipresidente2023 milei2023 mileipresidente;Positivo
415;debieran liberar el mercado para todos una pena que esto suceda milei2023;Positivo
418;tshirt ya está disponible la nueva tanda de remeras 2023 tshirt pedí la tuya por dm envelope_with_arrow milei2023 Argentina partidolibertariosantafe;Positivo
419;ajustaron salud y educación pero la casta no se ajustó presidencia gastó 7563377783 millones de pesos en menos de un año votá milei2023 sumate a libertariosbsas partidolibertario freedom libremercado;Positivo
420;al elefante hay que comerlo de a pedacitos pero tenés que saber comértelo  milei2023 vllc;Positivo
421;la única forma en la que me cambie a iphone y compre todo un nuevo ecosistema apple es si y sólo si milei gana la presidencia punto milei2023;Positivo
422;callate fascista  admirador del nazi delirante de milei;Negativo
423;antes que comenten no me interesan sus opiniones políticos ni si perón era nazi ni si milei es facho ni si ninguno de los dos viene a liberar la patria es un twit con un dato interesante nomas;Negativo
424;este es un argentino fascista admirador del nazi de milei;Negativo
425;si espero justamente eso q le den un techo a la gente pq es un derecho para eso se gobierna y se hace política p mejorar la vida d la gente común pero un liberal nazi fanático d milei d eso entiendo poco;Negativo
427;para el votante kirchnerista milei seria la ultra derecha neo nazi macri seria la maldita derecha basicamente todo lo que no sea kirchnerismo para ellos es derecha menos del caño;Negativo
428;este mismo es el concepto de libertad que vale para la secta nazilibertaria de milei;Negativo
429;agarralapalamilei buenviernes paso para recordarles que a milei lo banca el fondo buitre black rockéso explica sus ausencias al congreso y sus viajes al exterior para apoyar a políticos de ultraderecha como   dale rt es cosa seria;Negativo
430;cómo te duele milei que los corre por ultraderecha pero udsson lomismo;Negativo
432;envíados todos por jitler amigo fascista de ultraderecha personal de milei y laje;Negativo
434;no dejar que la gente se exprese políticamente como si vos no lo hicieras mamerta es puro fascismo y vos sos fascista como ayuso como milei como trump como bullrich como macri como priebke tu guía espiritual;Negativo
435;jaja que hdp mas o menos 20 años vienen teniendo ñoquis y se fijan en el gran y futuro procermilei;Positivo
438;pedazo de hdp aguante milei;Positivo
440;claro por eso javier milei va a ser el proximo presidente basta de parasitos hdp;Positivo
441;que confianza me da esta gente todos blanquitos y con ojos azules aunque milei no cumpla todos los requisitos y en su alemania nazi hubiera pasado por el horno;Negativo
444;zurdos de mierda hijos de puta  lo dijo milei pero lo comparto;Positivo
447;eso no es cierto dividir el mundo en dos como pretende el descerebrado bocón de milei no sé condice con la realidad además gobierna el partido comunista chino no se enteró váyase a vivir a ese país capitalista entonces vaya;Negativo
449;si eso es cierto más sumelenconocimientos en economía como los de javier milei de argentina;Positivo
451;y como cada día todos los días agradecemos la difusión que permanentemente nos da javier milei  y que tanto colabora con el crecimiento de ntra cuenta mil gracias javi;Positivo
452;perfecto solo nos queda dolarizar la economía y listo milei2023;Positivo
455;es de buen augurio milei2023 heart_suit flexed_biceps;Positivo
459;el fantoche de  me bloqueó sin siquiera decirle nada solo por tuitear que javier milei el fascista argentino que financia al partido de la gentees el diputado más inútil y flojo su parlamento me siento de la elite ha querido incomodarme de seguro;Negativo
460;despues los boludos de aca te dicen que milei crece porque la sociedad se hizo fascista y no se que;Negativo
461;el burro vago parásito casta y fascista de javier milei además de ausentarse en 41 votaciones no presentó ningún proyecto y no forma parte de ninguna comisión más casta parasitaria no se consigue creo que hasta fernando iglesias trabaja más;Negativo
462;milei es el típico fascista que se llena la boca con el esfuerzo y el trabajo conceptos que ni conoce;Negativo
464;milei funcional a cfk un loquito  gracias a su caprichito nos embocaron otro impuesto hablamos de  la castaaaa pobre forro;Negativo
466;lo que pasa es que para ustedes cualquier cosa es izquierda todo el que no sea facho como milei o bolsonaro o vox o cercano a eso es izquierda;Negativo
467;anda a seguir militando las dormidas de tu líder milei que no va a las sesiones a votar en contra de leyes de impuestos enano imbecil;Negativo
468;imbécil por ustedes existen el pro y milei ustedes no son buenos ellos son extremadamente malos;Negativo
469;no milei no funciona así en europa los estados socialistas del siglo xx sacaron adelante a sus sociedades empobrecidas no seas imbecil y sobretodo no seas mentiroso;Negativo
473;vivian smarmatic es del deep state soros hoy en wh el imbecil mando a la vocera a decir q tardaran con los votos mañana no tiene ni idea de la q se le viene lo de milei si me das ok te lo cuento por privado maga trump mi mentor y ex macrista;Negativo
474;el imbecil neurótico de milei defendiendo a empresarios ladrones un asco pobre argentina;Negativo
475;éxito también tiene el imbécil de milei por ejemplo;Negativo
477;si milei es tu héroe entonces sos bastante imbécil;Negativo
479;pero si milei no se robó las vacunas ni endeudó al pais como hizo el kirchnerismo y el macrismo que sería peor que hacer eso para vos quiero saber por que sino no se entiende quedas como idiota;Positivo
481;lee la historia no quedes como una idiota suerte con milei que si hoy es bsncado x éste gobierno de chorros;Negativo
482;si milei es la mejor opciónjajjajaja seguro que pensabas lo mismo de macri en 2015que idiota;Negativo
483;consume la misma merca que milei y ritondo esta siempre dura este idiota;Negativo
484;no hay votante de milei no idiota;Negativo
486;y los de argentina muchos mirando hacia javier milei quien encarna al chávez pero más facho;Negativo
488;se cansaron de ser una herramienta política de un espacio que no hace otra cosa más que multiplicarlos y utilizarlos es con milei;Positivo
489;el sector privado donde estuvo en la pandemia milei por ejemplo cobrando ayuda estatal son el atraso del país sin dudas;Negativo
490;tata querido  dale una mano a javier milei y este país vuelve a sus origen  trabajo dedicación y oportunidades  abrazos maestro viva la derecha peronista carajo;Positivo
493;que lindo sería tenerlo ahí para decirle aguante milei;Positivo
494;milei tenes que sumar gente moderada y legitimada para engrosar tu base y tenes q hacerlo ahora no 1 dia antes de la eleccion por qué milei sigue creciendo;Positivo
498;va a ser presidente;Positivo
501;todo bien con agustín pero es libertario no sea cosa que estén creando un futuro moustro anti derechos neo nazi para el rebaño de milei ojalá que no;Negativo
502;de esta forma no hace falta tener de adversarios a fachos macristas o a los nazi  fascistas de milei con máximo moviendole el piso al gobierno basta;Negativo
505;el judaísmo no tiene nada que ver  milei es un neonazi fascista y conservador besitos;Negativo
506;a milei lo conozco bien y es aún más idiota que cualquiera de vox imagina eres fascista vamos;Negativo
507;se le moja mucho la sanja a milei con la palabra comunista el fascista intolerante y sus delirios;Negativo
510;sos hartante no te escucho más que plan económico se puede de ir sino se sabe que nos vas pasar mañana milei es un psicopata y no es liberal es un facho cuánto te paga;Negativo
511;yo soy el que hace gimnacia mental para defender a un facho disculpame pero yo no soy el que defiende a meloni abascal milei o kast;Negativo
512;así milei el neo facho conserva y su troup de ñoquis violentos;Negativo
513;y vos te crees q votando al idiota de milei va acambiar algo si ni va a laburar al congreso ese vendedor de humo de organos humanos y de bebes handaaaa;Negativo
514;yo tambien voy a votar a milei ni loco voto a un gobierno que ya fracasó hay que ser idiota para hacerlo y solo un idiota tropieza dos veces con la misma piedra;Positivo
515;milei es un campeón pero vos sos muy idiota;Positivo
517;ninguno espert porque lanzó su candidatura a gobernador de la provincia y milei porque es un idiota;Negativo
519;sos un idiota y sos periodista está biénde tn mató a 50000 argentinoscomo entonces milei mató muchos más solo por ignorancia peor que la tuya;Negativo
522;es matemático si milei y otros genios como él se quedaban a votar ese impuesto no salía pero ninguna cantidad de evidencia logrará convencer a un idiota winking_face;Negativo
523;milei es un idiota que no le llega ni a la suela de los zapatos a cfk;Negativo
524;un tipo que defiende al vago de milei viene a tratarme de idiota jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaj;Negativo
525;cómo es el término técnico para milei oposición controlada idiota útil;Negativo
529;milei es un idiota pago como menem la mayor masacre de trabajadores en argentina y lo siguen;Negativo
531;como defienden a este gobierno aguante mileivan a terminar estos chorros hdp;Positivo
534;cuando hubo que frenarlos por un nuevo impuesto milei se paró y se fue ni en pedo voto a este hdp;Negativo
538;y si están enfermos el principal es el croto hdp de milei  tiene un desorden mental;Positivo
539;insufrible yo le comenté que me sonaba esa frase para no putearlo zurdo hdp milei 2023 la única solución white_heart Statue_of_Liberty;Positivo
540;en serio dijo eso espert jajajajaja que hdp y ya tienen una de sus amiguis de juntos por el cargo milei 2023 la única solución white_heart Statue_of_Liberty;Positivo
544;que miedo esta gente mileifacho mileiyeta;Negativo
545;lo que necesitamos es aún javier milei en colombia dar libertad economíca no abogar ideologías progres alejarnos de ese globalismo que nos destruye y nos empobrece reducir los impuestos hacer el estado sea pequeño;Positivo
548;el único que tiene un plan el javier milei y además te lo explica a la perfección gracias  por siempre estar del lado de la verdad gracias guillermoandino por dejarlo expresarse sin interrupciones a javier  lla vllc;Positivo
550;pabre claudita eso no va a pasar se viene javier milei presidente;Positivo
554;por ahora queremos saber sobre la agenda de los próximos 4 años y milei es el único que da sus ideas los de la vieja política siguen igual peleándose para ver quien es peor y más corrupto;Positivo
555;tenes pruebas denuncia  sino cerra bien la     ustedes venían a terminar con la casta javier milei es más vago que el cuñado de rocky no va nunca a trabajar vive tirando verdura no mas;Negativo
562;ahora javier milei mira las paso con cariño lo que vio en brasil lo entusiasma;Positivo
566;habla la voz del futuro con el gobierno de  estuve mejor la argentina se convirtió en un país próspero no voten más corrupción milei2023;Positivo
567;yo no yo ya tengo a mi candidato milei2023 lion;Positivo
569;tenga mucho cuidado señor milei vive en tierras muy peligrosas milei2023 milei presidente folded_hands folded_hands folded_hands;Positivo
571;oíd mortales el grito sagrado libertad libertad libertad milei2023 mileipresidente;Positivo
572;literalmente mi ciudad de nacimiento segui avanzando con pasos firmes que falta poco para verte de presidente  Argentina milei2023 Argentina  Argentina;Positivo
573;explota la  con la presencia de   lleno absoluto demostrando que el campo argentino acompaña a milei2023  vllc lalibertadavanza milei;Positivo
574;me tienta decir mi vida qué encantador es so cute pero no lo haré lo prometo face_with_hand_over_mouth rolling_on_the_floor_laughing milei2023 heart_suit flexed_biceps;Positivo
575;les vamos a ganar a todos a los de cambiemos y a los k  expresó que el único que tiene propuestas para gobernar el país soy yo milei2023;Positivo
576;sos un mercenario  estás conforme con vos mismo la única esperanza para argentina es milei2023;Positivo
577;que genio mi presidente jajajajaj milei2023;Positivo
579;a milei lo acompañan las fuerzas del cielo cloud_with_rain milei2023 vllc;Positivo
581;que clase de ser humano se puede dejar robar por ese hdp seguro l mism que votan a milei y a macri;Negativo
582;un animal e hdp en ese orden milei cavallo;Negativo
584;ni macri ni bulrrich va a gobernar milei y les va romper el culo a los revoltosos moyano atorrante están lleno de guita y siguen rompiéndole las pelotas a la gente que trabaja este gobierno es bueno no  hdp;Positivo
585;peluca es milei sabes lo q me importa que él y otro se enojen dije que si vida da para serie de netflix no dije que fue un hdp q vendió todo lo nuestro robó mucho y se pegó al sillón del senado para no ir a prisión;Negativo
587;el desencanto juvenil que alimenta el crecimiento de javier milei y el voto que le roba a los k;Positivo
591;el economista liberal criticó al gobierno a la oposición y pronosticó un futuro negro en caso de que su espacio no asuma el poder en el país;Positivo
592;acabo de decir que yo voto a milei retrasado;Positivo
596;lacras como van a perder privilegios  es cin milei2023 y laburando;Positivo
597;no depende de la profesión ni de la posición social sólo odio a los mentirosos que le hacen creer a la gente cosas que no son ciertas por el solo objetivo de no perder ni poner en riesgo sus propios privilegios ejemplo a vos y  milei2023;Positivo
598;clarísimo todo son tibios y kgones necesitamos huevos milei2023;Positivo
599;es con milei2023;Positivo
602;mírenlo milei2023;Positivo
603;conferencia de prensa en el hotel la urumpta de río iv el presidente del   junto a  y el ex ministro de economía doctor roque fernández  partidodemocrata lalibertadavanza javiermilei javiermileipresidente milei2023;Positivo
604;esto es lo único que me da esperanzas  2023 presidente el único con el que se puede levantar el país viva la libertad carajo milei2023;Positivo
605;reflexionemos con el economista álvarez agis  milei2023;Positivo
606;nuestra lucha no es política es moral   milei2023;Positivo
607;vamos carajooo es con milei milei2023 flexed_biceps heart_suit;Positivo
608;unos 2800 muertos cobran el plan potenciar trabajo la casta milagrosa no sólo cobran el plan sino que además tienen varias propiedades milei2023 lacastamilagrosa;Positivo
609;tipos como él son nabos serviles al status quo milei es un peligro es el único que puede romper desde adentro lo establecido están cagados en las patas y no van a parar hasta borrarlo del contexto político y cultural milei2023;Positivo
610;vos seguro que pero el javi si milei2023 las ideas claras;Positivo
611;el dio la batalla en los medios como nadie milei2023  resiste cualquier archivo;Positivo
612;la única solución es milei2023;Positivo
613;las convicciones que les pagamos nosotros parásitos son unas ratas bastadechorres vamos  milei2023;Positivo
615;para seguir apretando a los que trabajan honradamente les van a enviar una otra de militantes k para sacarles lo poco que les queda y así hacemos fundir manga de ladrones milei2023 viva la libertad carajo;Positivo
617;por eso milei2023;Positivo
618;falta menos de un año para votar pero lo veo muy probable milei2023  presidente mucha bronca en argentina con los políticos nft nfts nftcommunity nftproject art metaverse crypto rockstar blockchain polygonnfts;Positivo
619;atención con esto opción milei2023  como voto castigo al resto de los políticos en 2023 es muy probable;Positivo
620;macri va a jugarse con milei como voy a disfrutar oir a las mabeles decir que el león es lo mejor para el gatito milei2023;Positivo
621;innoven y usen otra palabra libertad es de milei y va a ganar con  o nada milei2023;Positivo
622;tibios negociadores casta de los cargos no lo van a hacer no tienen el coraje para hacer los cambios de fondo los arrastra la coyuntura por una u otra les van a marcar la chancha el peronismo y los k la única solución milei2023;Positivo
623;nos hacen falta mas locos que defiendan al pueblo y menos gente dandole tiempo de fama a los corruptos la unica salida milei2023;Positivo
625;todo nuestro apoyo para avanzar milei2023 Argentina;Positivo
626;es tan buena y democrática esta idea de milei el de sortear su sueldo de diputado nacional por la ciudad autónoma de buenos aires  argentina que no sé por qué no es imitado por todos sus colegas en el mundo por qué será no taaan raro milei2023;Positivo
627;1 si estamos arruinados mal 2 los alquileres son baratos en este país 3 por todo lo que decís milei2023;Positivo
628;hoy estuvimos conversando con vecinos y quedó inaugurada la seccional 14 córdoba tiene una alternativa diferente y es liberal sumate a   milei2023 en cerro de las rosas;Positivo
629;soy zurda por no votar a milei recién me entero bueno seré zurda entonces prefiero eso a ser un nazi;Negativo
630;yo asocio la palabra nazi con milei y con el ala extrema del pro josé manuel ubeira en canibalesenc5n;Negativo
631;mis esperanzas están renovadas porque nuestro futuro presidente va a recontruir a nuestro país y mis hijitos tendrán un mejor futuro folded_hands Argentina clapping_hands snake vllc hagámoslo posible    mamálibertaria milei2023;Positivo
633;al salir dijo luis al salir por ahora te seguimos odiando por lacra vividor sabes que las políticas del peronismo y de tugo no sirven y empobrecen pero no quería perder tus privilegios es con  milei2023;Positivo
634;se metio el gobierno 386 de inflacion en 1 dia preciosjustos milei2023;Positivo
635;es una vergüenza y una asquerosidad que diga semejante barbaridad usted es solo otra mas que vive del dolor ajeno y se atreve a mofarce de la perdida de mas de 120000 familias rotas por el covid noolvidamos milei2023 vivalalibertad;Positivo
637;otro economista  hablando correcto y escuchando al que mas sabe   milei2023 mileipresidente;Positivo
641;eso pasa cuando se vota populismo y esos votos joden al ingenuo que los voto y a los que no los voto  mi padre decia cuando no se tiene cabeza para pensar hay que tener hombros para aguantar la solucion es liberal vllc  milei2023;Positivo
642;no sos el único ahora espero sean muchos más y no voten a ese pelado de mier la ciudad de los piqueteros y los ciclistas q les chupa un huevo las normas y el resto q se cague milei2023;Positivo
643;saluden a brasil que se va milei2023 la única esperanza para latinoamérica;Positivo
644;yo  decir la verdad ni en pedo antes soy k evidencia empírica larretaespeorquemacri larretanovasaserpresidente milei2023;Positivo
645;el individuo milei2023;Positivo
646;viene votando tal cual lo hubiera hecho yo con eso me alcanza milei2023;Positivo
647;se ha normalizado los indultos de la ultraderecha en argentina milei le dice al gobierno zurdos de mierda no se debe permitir;Negativo
648;conocer el pensamiento liberal nos ayudará a establecer de una vez por todas que ni el libertarianismo ni la nueva ultraderecha encabezada por fantoches como milei forman parte de esa tradición;Negativo
655;a cfk ni hablar milei es cavallo pero fascista;Negativo
656;milei vuelve a la caverna de donde procedes fascista;Negativo
657;el delirante argentino fascista  amante de milei el unico músculo que usa es la lengua;Negativo
659;milei es liberal y el fascismo al igual que el comunismo representa el control total del estado sobre el país si vas a acusar de fascista a alguien empieza por la izquierda;Positivo
660;espert es el único liberal milei es fascista si no le gusta tu opinión te cancela;Negativo
661;hacerse pasar por liberal y creer que sabe economía por que repite a milei o laje o creer que es de libre mercado cuando no tiene ni capital ni empresa propia respeto mas a uno del fa que a un fascista vende humo;Negativo
662;milei es comunista también y fascista es igual que cualquier peronista es decir pobrista;Negativo
663;milei es menemismo irrespetuoso y fascista probá contradecir algo te bloquea larreta pierde la interna por macri sale a jugar en el segundo tiempo;Negativo
664;milei no solo es fascista tiene que recibir tratamiento psiquiátrico ejerce violencia gritos  esta enfermo es un desquiciado suelto;Negativo
665;milei es un peligro para la argentina y toda sudamérica  su ideología fascista le ciega el entendimiento y ningún país negocia con gente así  será un paria internacional;Negativo
667;milei llega en el 2023 y se le termina el curro a este forro;Positivo
668;totalmente funcional a los k este peroncho menemista admirador de domingo cabayo el mismo que estatizo la deuda privada en los 70 lindo liberal el forro de milei;Negativo
670;ojalá gane milei así los saca del forro del orto;Positivo
671;otro forro más que ve comunistas por todos lados tienen todos el cerebro quemado no sé qué es peor de estos idiotas si lo de ver comunistas hasta abajo de la almohada o creer que milei puede ser presidente crean su propia nube de pedos y ahí viven;Negativo
672;milei habla en 3era persona como el diego ah el narcisismo del facho desquiciado no tiene limite;Negativo
673;estafadores son vos y el facho de milei que cobran un sueldo y no van a laburar lo otro es política cada uno es libre de arreglar con quién quiera y si no te gusta te jodes;Negativo
674;beto no entiendo cómo un tipo inteligente como vos puede ponerse atrás de un desequilibrado y facho como milei;Negativo
675;milei es un payaso engaña bobos un facho y nostálgico de dictaduras militares;Negativo
676;ideas de un facho decimonónico cualquiera;Negativo
677;milei es un facho celestudo encubierto tiene menos de liberal que yo de japonés;Negativo
